Event ID;Date;Region;Source;Ship Type;Area;Location;Pollutant;Estimated Litres
1;2002-07-02 00:00:00;Cairns;ship;commercial;port limits;Trinity Inlet, Cairns Harbour;diesel;
2;2002-07-03 00:00:00;Cairns;unknown;recreational;coastal waters;Marina Mirage, Port Douglas;bilge;
3;2002-07-12 00:00:00;Gladstone;ship;unknown;coastal waters;SE of Double Island Point;bilge;
4;2002-07-22 00:00:00;Brisbane;unknown;unknown;coastal waters;Town Reach, Brisbane River;diesel;
5;2002-08-01 00:00:00;Gold Coast;ship;recreational;coastal waters;Canal area - Benowa;diesel;
6;2002-08-05 00:00:00;Mackay;ship;fishing;port limits;Mackay Harbour;diesel;
7;2002-08-07 00:00:00;Townsville;ship;commercial;port limits;Ross Creek, Townsville;diesel;
8;2002-08-12 00:00:00;Brisbane;land;n/a;coastal waters;Breakfast Creek;diesel;
9;2002-08-13 00:00:00;Cairns;ship;recreational;coastal waters;"11\26044.31'S; 143\26005.059'E";diesel;
10;2002-08-15 00:00:00;Townsville;ship;fishing;port limits;Fisherman's Wharf, Ross River;diesel;
11;2002-08-16 00:00:00;Cairns;ship;commercial;coastal waters;Marina Mirage, Port Douglas;diesel;
12;2002-08-20 00:00:00;Cairns;ship;fishing;port limits;Evans Landing, Weipa;diesel;
13;2002-08-23 00:00:00;Cairns;ship;recreational;coastal waters;Marina Mirage, Port Douglas;diesel;
14;2002-08-25 00:00:00;Brisbane;land;n/a;port limits;Fisherman Island Berth #1&2;other;
15;2002-08-31 00:00:00;Brisbane;ship;recreational;coastal waters;Morton Bay Boat Club, Scarborough;bilge;
16;2002-09-02 00:00:00;Cairns;ship;fishing;great barrier reef;"09\26057'S;142\26056'E, western side of Dungeress Reef";diesel;
17;2002-09-02 00:00:00;Gladstone;ship;commercial;coastal waters;12 nm SSE of High Peak;bilge;
18;2002-09-08 00:00:00;Brisbane;land;n/a;port limits;BP crude Terminal - Bulwer Island, Brisbane River;other oil;
19;2002-09-09 00:00:00;Cairns;ship;recreational;great barrier reef;Hospital Pt, Thursday Island;diesel;
20;2002-09-09 00:00:00;Gladstone;ship;commercial;port limits;RG Tanna Coal Terminal wharf;hydraulic;
21;2002-09-14 00:00:00;Mackay;ship;commercial;coastal waters;Shute Harbour;bilge;
22;2002-09-19 00:00:00;Mackay;ship;recreational;coastal waters;Mackay Marina;other;
23;2002-09-28 00:00:00;Gladstone;ship;commercial;coastal waters;"North Reef 23\26010's;151\26057'E";bilge;
24;2002-09-29 00:00:00;Brisbane;unknown;unknown;coastal waters;Saraha St Deagon, Brisbane River;bilge;
25;2002-10-01 00:00:00;Brisbane;unknown;unknown;port limits;BP Products Berth, Pinkenba Reach Brisbane River;diesel;
